GESTION;2018;;;;;;;
TYPE BUDGET;Budget général;;;;;;;
;;;;; Données;;;
Culture;131;1;64;Transferts aux autres collectivités;279 091 875;271 680 199;274 247 664;270 221 220
Culture;131;1;72;Dotations en fonds propres;10 166 000;10 166 000;13 366 000;10 766 000
Culture;131;2;31;Dépenses de fonctionnement autres que celles de personnel;4 331 899;4 700 192;4 300 000;4 300 000
Culture;131;2;32;Subventions pour charges de service public;12 035 357;11 976 564;12 035 357;11 976 564
Culture;131;2;51;Dépenses pour immobilisations corporelles de l’État;21 586 834;38 452 000;8 266 834;6 402 000
Culture;131;2;61;Transferts aux ménages;800 000;675 985;800 000;675 985
Culture;131;2;62;Transferts aux entreprises;9 746 870;8 533 810;8 284 840;8 533 740
Culture;131;2;63;Transferts aux collectivités territoriales;5 848 122;8 141 085;10 721 557;8 092 445
Culture;131;2;64;Transferts aux autres collectivités;33 228 958;33 614 070;29 817 553;31 037 780
Culture;131;2;72;Dotations en fonds propres;2 960 000;2 960 000;2 960 000;2 960 000
Culture;175;1;31;Dépenses de fonctionnement autres que celles de personnel;30 228 620;30 563 890;30 207 858;30 277 442
Culture;175;1;32;Subventions pour charges de service public;12 338 082;10 275 225;12 338 082;10 275 225
Culture;175;1;51;Dépenses pour immobilisations corporelles de l’État;106 965 374;102 796 968;73 975 248;77 995 248
Culture;175;1;61;Transferts aux ménages;17 710 628;18 669 190;15 464 164;16 932 860
Culture;175;1;62;Transferts aux entreprises;20 976 820;17 912 701;15 531 303;11 737 713
Culture;175;1;63;Transferts aux collectivités territoriales;99 101 681;118 626 026;109 801 428;110 054 390
Culture;175;1;64;Transferts aux autres collectivités;24 743 195;22 739 407;23 199 084;25 686 016
Culture;175;1;72;Dotations en fonds propres;59 794 588;54 949 395;53 949 395;49 949 395
Culture;175;2;31;Dépenses de fonctionnement autres que celles de personnel;476 172;366 172;476 172;366 172
Culture;175;2;32;Subventions pour charges de service public;17 289 889;17 255 603;17 289 889;17 255 603
Culture;175;2;64;Transferts aux autres collectivités;13 230 250;13 823 500;13 220 250;13 823 500
Culture;175;2;72;Dotations en fonds propres;685 313;685 313;685 313;685 313
Culture;175;3;31;Dépenses de fonctionnement autres que celles de personnel;11 359 868;16 169 545;14 697 701;14 774 492
Culture;175;3;32;Subventions pour charges de service public;272 251 524;269 561 712;272 251 524;269 561 712
Culture;175;3;51;Dépenses pour immobilisations corporelles de l’État;16 032 342;11 403 293;14 237 145;14 095 932
Culture;175;3;63;Transferts aux collectivités territoriales;22 030 000;16 330 000;16 330 000;16 330 000
Culture;175;3;64;Transferts aux autres collectivités;11 178 209;10 394 959;11 178 209;10 394 959
Culture;175;3;72;Dotations en fonds propres;43 596 549;13 417 486;29 596 549;25 417 486
Culture;175;4;31;Dépenses de fonctionnement autres que celles de personnel;12 345 454;17 416 543;12 345 454;13 241 024
Culture;175;4;32;Subventions pour charges de service public;170 000;170 000;170 000;170 000
Culture;175;4;51;Dépenses pour immobilisations corporelles de l’État;18 046 650;9 541 200;11 048 487;17 645 113
Culture;175;4;64;Transferts aux autres collectivités;4 092 000;4 000 000;4 090 689;4 000 000
Culture;175;4;65;Appels en garantie;1 552 500;1 480 050;1 552 500;1 480 050
Culture;175;7;31;Dépenses de fonctionnement autres que celles de personnel;50 500;51 005;50 500;51 005
Culture;175;7;64;Transferts aux autres collectivités;3 173 333;3 173 333;3 173 333;3 173 333
Culture;175;8;32;Subventions pour charges de service public;50 000;50 000;50 000;50 000
Culture;175;8;51;Dépenses pour immobilisations corporelles de l’État;3 046 448;2 546 448;3 046 448;2 546 448
Culture;175;8;63;Transferts aux collectivités territoriales;2 177 118;2 177 118;2 177 118;2 177 118
Culture;175;8;64;Transferts aux autres collectivités;1 748 000;1 748 000;1 748 000;1 748 000
Culture;175;8;72;Dotations en fonds propres;2 968 745;2 968 745;2 968 745;2 968 745
Culture;175;9;31;Dépenses de fonctionnement autres que celles de personnel;160 590;162 196;160 590;162 196
Culture;175;9;32;Subventions pour charges de service public;79 500 000;79 500 000;79 500 000;79 500 000
Culture;175;9;63;Transferts aux collectivités territoriales;18 700 000;19 500 000;15 735 652;16 000 000
Culture;175;9;64;Transferts aux autres collectivités;35 998 000;35 198 000;35 998 000;35 198 000
Culture;175;9;72;Dotations en fonds propres;1 600 000;1 600 000;1 600 000;1 600 000
Culture;224;1;32;Subventions pour charges de service public;142 586 369;141 662 026;142 586 369;141 662 026
Culture;224;1;51;Dépenses pour immobilisations corporelles de l’État;14 850 000;20 207 846;25 350 000;22 504 914
Culture;224;1;61;Transferts aux ménages;39 949 462;29 855 462;39 949 462;29 855 462
Culture;224;1;63;Transferts aux collectivités territoriales;19 200 000;24 800 000;19 000 000;21 200 000
Culture;224;1;64;Transferts aux autres collectivités;38 519 474;39 534 474;38 519 474;41 184 474
Culture;224;1;72;Dotations en fonds propres;8 896 581;8 896 581;8 896 581;8 896 581
Culture;224;2;32;Subventions pour charges de service public;;4 000 000;;4 000 000
Culture;224;2;51;Dépenses pour immobilisations corporelles de l’État;;2 000 000;;2 000 000
Culture;224;2;62;Transferts aux entreprises;4 780 000;7 200 000;4 780 000;7 200 000
Culture;224;2;63;Transferts aux collectivités territoriales;19 000 000;38 800 000;19 000 000;38 800 000
Culture;224;2;64;Transferts aux autres collectivités;95 388 406;121 368 406;95 388 406;121 368 406
Culture;224;6;64;Transferts aux autres collectivités;8 392 159;8 938 159;8 392 159;8 938 159
Culture;224;7;21;Rémunérations d’activité;416 114 917;405 358 787;416 114 917;405 358 787
Culture;224;7;22;Cotisations et contributions sociales;275 438 923;300 014 541;275 438 923;300 014 541
Culture;224;7;23;Prestations sociales et allocations diverses;5 150 000;5 150 000;5 150 000;5 150 000
Culture;224;7;31;Dépenses de fonctionnement autres que celles de personnel;64 448 338;61 415 968;58 308 110;59 269 177
Culture;224;7;32;Subventions pour charges de service public;11 818 765;12 215 741;11 818 765;12 215 741
Culture;224;7;51;Dépenses pour immobilisations corporelles de l’État;11 477 323;4 356 420;9 574 239;5 674 239
Culture;224;7;52;Dépenses pour immobilisations incorporelles de l’État;;5 550 000;;5 550 000
Culture;224;8;61;Transferts aux ménages;2 000 000;2 000 000;2 000 000;2 000 000
Culture;224;8;62;Transferts aux entreprises;88 000 000;88 000 000;53 000 000;23 000 000
Défense;144;3;31;Dépenses de fonctionnement autres que celles de personnel;158 238 792;148 201 079;139 619 851;160 240 374
Défense;144;3;51;Dépenses pour immobilisations corporelles de l’État;153 995 629;160 103 327;103 852 940;133 464 571
Défense;144;3;52;Dépenses pour immobilisations incorporelles de l’État;11 834 695;11 879 255;13 796 325;15 619 172
Défense;144;3;64;Transferts aux autres collectivités;;144 000;100 000;244 000
Défense;144;7;31;Dépenses de fonctionnement autres que celles de personnel;879 460 791;788 080 200;744 788 247;751 374 617
Défense;144;7;32;Subventions pour charges de service public;261 238 527;261 930 412;261 238 527;261 930 412
Défense;144;7;62;Transferts aux entreprises;2 012 000;4 050 000;2 012 000;4 050 000
Défense;144;7;64;Transferts aux autres collectivités;20 902 567;20 610 000;20 902 567;20 610 000
Défense;144;7;72;Dotations en fonds propres;300 000;5 245 000;5 850 000;5 245 000
Défense;144;8;31;Dépenses de fonctionnement autres que celles de personnel;9 014 206;10 796 293;9 014 206;10 796 293
Défense;144;8;62;Transferts aux entreprises;1 110 235;1 020 000;1 110 235;1 020 000
Défense;144;8;64;Transferts aux autres collectivités;33 670 000;31 057 320;33 670 000;31 057 320
Défense;146;6;31;Dépenses de fonctionnement autres que celles de personnel;963 277 822;707 224 098;1 442 657 465;672 862 513
Défense;146;6;51;Dépenses pour immobilisations corporelles de l’État;1 413 899 692;2 161 472 089;1 719 561 425;2 573 477 993
Défense;146;7;31;Dépenses de fonctionnement autres que celles de personnel;203 519 358;294 997 517;492 636 151;375 676 178
Défense;146;7;51;Dépenses pour immobilisations corporelles de l’État;1 275 034 790;3 033 099 998;1 177 592 856;1 216 121 989
Défense;146;7;64;Transferts aux autres collectivités;76 800;;764 818;1 916 617
Défense;146;8;31;Dépenses de fonctionnement autres que celles de personnel;59 557 613;74 945 713;191 574 812;116 388 903
Défense;146;8;51;Dépenses pour immobilisations corporelles de l’État;556 320 761;1 046 048 208;1 090 476 518;1 281 201 144
Défense;146;8;64;Transferts aux autres collectivités;;;2 707 842;1 613 782
Défense;146;9;31;Dépenses de fonctionnement autres que celles de personnel;232 100 174;241 543 991;672 188 401;747 919 850
Défense;146;9;51;Dépenses pour immobilisations corporelles de l’État;4 804 391 269;4 559 814 342;2 648 614 942;2 737 086 695
Défense;146;9;64;Transferts aux autres collectivités;14 610 000;15 840 000;25 398 229;23 485 007
Défense;146;10;31;Dépenses de fonctionnement autres que celles de personnel;78 718 596;42 418 787;112 082 707;122 647 523
Défense;146;10;51;Dépenses pour immobilisations corporelles de l’État;328 852 177;1 268 555 117;279 179 602;166 520 668
Défense;146;10;64;Transferts aux autres collectivités;;;782 335;886 810
Défense;146;11;31;Dépenses de fonctionnement autres que celles de personnel;79 853 660;170 003 761;83 249 473;150 791 387
Défense;146;11;51;Dépenses pour immobilisations corporelles de l’État;127 292 325;42 695 550;110 098 201;52 472 140
Défense;146;11;64;Transferts aux autres collectivités;2 743 912;2 334 279;1 806 037;2 175 943
Défense;178;1;31;Dépenses de fonctionnement autres que celles de personnel;210 312 956;221 242 544;209 652 865;219 221 029
Défense;178;1;51;Dépenses pour immobilisations corporelles de l’État;116 024 022;137 294 959;132 167 052;147 958 220
Défense;178;1;52;Dépenses pour immobilisations incorporelles de l’État;13 543 400;8 956 000;2 800 000;4 246 132
Défense;178;1;64;Transferts aux autres collectivités;141 316 645;155 131 192;139 986 185;153 931 192
Défense;178;2;31;Dépenses de fonctionnement autres que celles de personnel;1 243 859 015;1 272 794 158;1 102 313 224;1 200 073 282
Défense;178;2;51;Dépenses pour immobilisations corporelles de l’État;86 549 954;106 527 367;119 166 622;104 500 458
Défense;178;2;61;Transferts aux ménages;4 869 360;;4 869 360;
Défense;178;2;64;Transferts aux autres collectivités;;4 725 745;;4 725 745
Défense;178;3;31;Dépenses de fonctionnement autres que celles de personnel;1 752 861 824;2 285 311 430;1 856 370 359;2 076 832 968
Défense;178;3;32;Subventions pour charges de service public;27 274 791;30 868 944;27 274 791;30 868 944
Défense;178;3;51;Dépenses pour immobilisations corporelles de l’État;99 979 791;108 377 591;112 979 791;137 317 591
Défense;178;3;64;Transferts aux autres collectivités;8 000;;8 000;
Défense;178;3;72;Dotations en fonds propres;3 182 000;689 000;3 182 000;689 000
Défense;178;4;31;Dépenses de fonctionnement autres que celles de personnel;2 911 091 572;2 540 507 701;1 929 966 613;2 063 965 726
Défense;178;4;51;Dépenses pour immobilisations corporelles de l’État;46 249 118;58 818 518;46 446 186;59 300 250
Défense;178;5;31;Dépenses de fonctionnement autres que celles de personnel;1 387 073 921;1 427 113 373;1 280 074 740;1 404 359 354
Défense;178;5;51;Dépenses pour immobilisations corporelles de l’État;44 537 731;51 642 385;46 782 170;50 911 962
Défense;178;5;52;Dépenses pour immobilisations incorporelles de l’État;2 500 000;2 504 000;2 500 000;2 503 000
Défense;178;5;61;Transferts aux ménages;476 989;475 621;476 989;475 621
Défense;178;6;31;Dépenses de fonctionnement autres que celles de personnel;262 000 000;370 300 000;262 000 000;370 300 000
Défense;178;6;61;Transferts aux ménages;18 000 000;34 700 000;18 000 000;34 700 000
Défense;212;4;31;Dépenses de fonctionnement autres que celles de personnel;306 310 394;316 470 656;310 010 667;316 482 579
Défense;212;4;51;Dépenses pour immobilisations corporelles de l’État;1 374 681 105;127 585 000;1 018 386 426;115 717 159
Défense;212;4;52;Dépenses pour immobilisations incorporelles de l’État;;1 662 380 194;;1 286 319 739
Défense;212;4;64;Transferts aux autres collectivités;6 388 000;9 640 000;6 388 000;9 640 000
Défense;212;4;72;Dotations en fonds propres;30 000 000;;5 000 000;16 000 000
Défense;212;5;31;Dépenses de fonctionnement autres que celles de personnel;85 390 873;103 688 382;100 175 024;95 777 933
Défense;212;5;51;Dépenses pour immobilisations corporelles de l’État;4 210 000;208 000;3 790 000;849 334
Défense;212;5;52;Dépenses pour immobilisations incorporelles de l’État;36 596 089;44 437 876;42 932 153;41 047 684
Défense;212;6;31;Dépenses de fonctionnement autres que celles de personnel;141 272 753;151 624 914;141 272 753;152 570 914
Défense;212;6;51;Dépenses pour immobilisations corporelles de l’État;446 950;401 052;446 950;401 052
Défense;212;6;64;Transferts aux autres collectivités;132 000;58 812;132 000;58 812
Défense;212;8;31;Dépenses de fonctionnement autres que celles de personnel;3 725 357;4 427 630;3 979 024;4 427 630
Défense;212;8;32;Subventions pour charges de service public;17 217 659;20 738 842;17 217 659;20 738 842
Défense;212;8;61;Transferts aux ménages;100 000;126 000;100 000;126 000
Défense;212;8;64;Transferts aux autres collectivités;326 000;494 899;326 000;494 899
Défense;212;8;72;Dotations en fonds propres;4 341 373;4 417 496;4 341 373;11 769 738
Défense;212;10;31;Dépenses de fonctionnement autres que celles de personnel;5 590 951;4 791 155;5 590 951;4 791 155
Défense;212;10;51;Dépenses pour immobilisations corporelles de l’État;41 275 000;55 757 000;29 099 916;45 784 864
Défense;212;10;62;Transferts aux entreprises;5 100 577;;8 017 870;4 450 305
Défense;212;10;63;Transferts aux collectivités territoriales;8 680 441;14 495 599;13 645 248;10 011 286
Défense;212;10;64;Transferts aux autres collectivités;3 121 254;;4 906 464;
Défense;212;10;73;Dépenses de participations financières;;;;1 500 000
Défense;212;11;31;Dépenses de fonctionnement autres que celles de personnel;284 017 983;274 538 064;354 367 335;278 164 563
Défense;212;11;32;Subventions pour charges de service public;70 453 407;71 747 263;70 453 407;71 747 263
Défense;212;11;51;Dépenses pour immobilisations corporelles de l’État;9 828 900;19 177 488;4 816 009;66 367 488
Défense;212;11;72;Dotations en fonds propres;;3 503 000;;3 503 000
Défense;212;50;21;Rémunérations d’activité;335 051 615;356 290 150;335 051 615;356 290 150
Défense;212;50;22;Cotisations et contributions sociales;194 431 136;208 469 839;194 431 136;208 469 839
Défense;212;50;23;Prestations sociales et allocations diverses;2 059 541;2 168 508;2 059 541;2 168 508
Défense;212;51;21;Rémunérations d’activité;14 886 596;14 691 050;14 886 596;14 691 050
Défense;212;51;22;Cotisations et contributions sociales;10 792 678;10 636 571;10 792 678;10 636 571
Défense;212;51;23;Prestations sociales et allocations diverses;22 951;32 379;22 951;32 379
Défense;212;52;21;Rémunérations d’activité;49 232 237;47 609 799;49 232 237;47 609 799
Défense;212;52;22;Cotisations et contributions sociales;37 164 742;39 111 529;37 164 742;39 111 529
Défense;212;52;23;Prestations sociales et allocations diverses;43 136;60 117;43 136;60 117
Défense;212;53;21;Rémunérations d’activité;463 064 630;476 546 569;463 064 630;476 546 569
Défense;212;53;22;Cotisations et contributions sociales;1 435 239 941;1 529 171 402;1 435 239 941;1 529 171 402
Défense;212;53;23;Prestations sociales et allocations diverses;789 704;1 100 903;789 704;1 100 903
Défense;212;54;21;Rémunérations d’activité;669 130 149;699 834 115;669 130 149;699 834 115
Défense;212;54;22;Cotisations et contributions sociales;546 924 968;575 641 483;546 924 968;575 641 483
Défense;212;54;23;Prestations sociales et allocations diverses;1 133 403;1 646 033;1 133 403;1 646 033
Défense;212;55;21;Rémunérations d’activité;3 546 287 171;3 759 155 051;3 546 287 171;3 759 155 051
Défense;212;55;22;Cotisations et contributions sociales;3 312 001 625;3 448 679 279;3 312 001 625;3 448 679 279
Défense;212;55;23;Prestations sociales et allocations diverses;8 510 619;11 893 579;8 510 619;11 893 579
Défense;212;56;21;Rémunérations d’activité;1 276 791 321;1 234 582 720;1 276 791 321;1 234 582 720
Défense;212;56;22;Cotisations et contributions sociales;1 137 312 113;1 105 968 556;1 137 312 113;1 105 968 556
Défense;212;56;23;Prestations sociales et allocations diverses;2 741 215;3 817 723;2 741 215;3 817 723
Défense;212;57;21;Rémunérations d’activité;1 346 923 404;1 315 174 112;1 346 923 404;1 315 174 112
Défense;212;57;22;Cotisations et contributions sociales;1 205 806 183;1 183 893 602;1 205 806 183;1 183 893 602
Défense;212;57;23;Prestations sociales et allocations diverses;2 803 965;3 913 956;2 803 965;3 913 956
Défense;212;58;21;Rémunérations d’activité;1 226 626 696;1 276 742 793;1 226 626 696;1 276 742 793
Défense;212;58;22;Cotisations et contributions sociales;1 209 064 864;1 280 146 933;1 209 064 864;1 280 146 933
Défense;212;58;23;Prestations sociales et allocations diverses;3 479 319;4 788 315;3 479 319;4 788 315
Défense;212;59;21;Rémunérations d’activité;210 821 000;285 793 800;210 821 000;285 793 800
Défense;212;59;22;Cotisations et contributions sociales;179 000;206 200;179 000;206 200
Défense;212;60;21;Rémunérations d’activité;262 334 157;268 570 974;262 334 157;268 570 974
Défense;212;60;22;Cotisations et contributions sociales;190 693 805;196 582 349;190 693 805;196 582 349
Défense;212;60;23;Prestations sociales et allocations diverses;541 227;752 540;541 227;752 540
Défense;212;61;22;Cotisations et contributions sociales;36 171 584;38 971 629;36 171 584;38 971 629
Défense;212;61;23;Prestations sociales et allocations diverses;271 355 403;268 815 927;271 355 403;268 815 927
Défense;212;62;21;Rémunérations d’activité;21 233 063;22 603 821;21 233 063;22 603 821
Défense;212;62;22;Cotisations et contributions sociales;14 406 349;15 500 056;14 406 349;15 500 056
Défense;212;62;23;Prestations sociales et allocations diverses;48 670;68 948;48 670;68 948
Défense;212;63;21;Rémunérations d’activité;91 323 915;56 257 290;91 323 915;56 257 290
Défense;212;63;22;Cotisations et contributions sociales;245 650;231 766;245 650;231 766
Défense;212;63;23;Prestations sociales et allocations diverses;22 672 656;16 331 364;22 672 656;16 331 364
Défense;212;64;21;Rémunérations d’activité;247 515 683;237 564 847;247 515 683;237 564 847
Défense;212;64;22;Cotisations et contributions sociales;168 132 243;165 294 542;168 132 243;165 294 542
Défense;212;64;23;Prestations sociales et allocations diverses;479 047;675 894;479 047;675 894
Défense;212;65;21;Rémunérations d’activité;39 713 245;45 299 004;39 713 245;45 299 004
Défense;212;65;22;Cotisations et contributions sociales;29 849 306;36 230 079;29 849 306;36 230 079
Défense;212;65;23;Prestations sociales et allocations diverses;95 712;134 499;95 712;134 499
Défense;212;66;21;Rémunérations d’activité;13 711 124;13 864 633;13 711 124;13 864 633
Défense;212;66;22;Cotisations et contributions sociales;10 384 492;10 430 224;10 384 492;10 430 224
Défense;212;66;23;Prestations sociales et allocations diverses;22 056;31 587;22 056;31 587
Défense;212;67;21;Rémunérations d’activité;52 161 469;55 144 423;52 161 469;55 144 423
Défense;212;67;22;Cotisations et contributions sociales;38 802 867;41 986 331;38 802 867;41 986 331
Défense;212;67;23;Prestations sociales et allocations diverses;89 200;127 140;89 200;127 140
Direction de l'action du Gouvernement;129;1;21;Rémunérations d’activité;41 367 634;41 368 902;41 367 634;41 368 902
Direction de l'action du Gouvernement;129;1;22;Cotisations et contributions sociales;18 597 671;18 690 691;18 597 671;18 690 691
Direction de l'action du Gouvernement;129;1;23;Prestations sociales et allocations diverses;950 855;950 859;950 855;950 859
Direction de l'action du Gouvernement;129;1;31;Dépenses de fonctionnement autres que celles de personnel;15 650 072;15 650 072;15 714 575;15 714 575
Direction de l'action du Gouvernement;129;1;61;Transferts aux ménages;4 886 364;8 835 092;4 886 364;8 835 092
Direction de l'action du Gouvernement;129;1;64;Transferts aux autres collectivités;8 604 932;8 098 204;8 604 932;8 098 204
Direction de l'action du Gouvernement;129;2;21;Rémunérations d’activité;57 521 200;60 573 533;57 521 200;60 573 533
Direction de l'action du Gouvernement;129;2;22;Cotisations et contributions sociales;26 801 919;28 145 602;26 801 919;28 145 602
Direction de l'action du Gouvernement;129;2;23;Prestations sociales et allocations diverses;779 033;894 252;779 033;894 252
Direction de l'action du Gouvernement;129;2;31;Dépenses de fonctionnement autres que celles de personnel;130 547 609;134 553 362;135 036 892;135 512 222
Direction de l'action du Gouvernement;129;2;32;Subventions pour charges de service public;13 820 474;13 820 237;13 820 474;13 820 237
Direction de l'action du Gouvernement;129;2;51;Dépenses pour immobilisations corporelles de l’État;111 406 671;101 374 859;102 159 348;102 855 944
Direction de l'action du Gouvernement;129;2;52;Dépenses pour immobilisations incorporelles de l’État;4 250 000;9 380 008;4 727 631;8 518 796
Direction de l'action du Gouvernement;129;2;62;Transferts aux entreprises;1 086 956;1 369 564;1 086 957;1 209 446
Direction de l'action du Gouvernement;129;2;64;Transferts aux autres collectivités;1 714 152;1 897 957;1 398 065;2 203 289
Direction de l'action du Gouvernement;129;3;21;Rémunérations d’activité;7 163 313;7 232 255;7 163 313;7 232 255
Direction de l'action du Gouvernement;129;3;22;Cotisations et contributions sociales;3 740 827;3 549 616;3 740 827;3 549 616
Direction de l'action du Gouvernement;129;3;23;Prestations sociales et allocations diverses;138 276;139 606;138 276;139 606
Direction de l'action du Gouvernement;129;3;31;Dépenses de fonctionnement autres que celles de personnel;4 781 625;4 834 510;4 781 625;4 834 510
Direction de l'action du Gouvernement;129;3;64;Transferts aux autres collectivités;718 467;700 000;718 467;700 000
Direction de l'action du Gouvernement;129;10;21;Rémunérations d’activité;27 127 795;28 709 040;27 127 795;28 709 040
Direction de l'action du Gouvernement;129;10;22;Cotisations et contributions sociales;12 595 307;12 595 307;12 595 307;12 595 307
Direction de l'action du Gouvernement;129;10;23;Prestations sociales et allocations diverses;632 377;632 377;632 377;632 377
Direction de l'action du Gouvernement;129;10;31;Dépenses de fonctionnement autres que celles de personnel;66 244 287;48 745 300;77 962 180;74 779 727
Direction de l'action du Gouvernement;129;10;51;Dépenses pour immobilisations corporelles de l’État;5 060 393;1 575 000;4 035 949;1 866 826
Direction de l'action du Gouvernement;129;10;52;Dépenses pour immobilisations incorporelles de l’État;1 107 669;150 000;989 558;150 000
Direction de l'action du Gouvernement;129;10;64;Transferts aux autres collectivités;1 979 116;7 728 136;1 979 116;7 728 136
Direction de l'action du Gouvernement;129;11;21;Rémunérations d’activité;10 485 520;10 390 931;10 485 520;10 390 931
Direction de l'action du Gouvernement;129;11;22;Cotisations et contributions sociales;4 397 907;4 358 234;4 397 907;4 358 234
Direction de l'action du Gouvernement;129;11;23;Prestations sociales et allocations diverses;134 988;133 770;134 988;133 770
Direction de l'action du Gouvernement;129;11;31;Dépenses de fonctionnement autres que celles de personnel;6 803 879;5 264 406;6 803 879;5 264 406
Direction de l'action du Gouvernement;129;11;64;Transferts aux autres collectivités;6 298 527;2 887 467;6 298 527;2 887 467
Direction de l'action du Gouvernement;129;13;32;Subventions pour charges de service public;24 534 122;24 527 822;24 534 122;24 527 822
Direction de l'action du Gouvernement;129;13;72;Dotations en fonds propres;2 567 214;2 567 214;2 567 214;2 567 214
Direction de l'action du Gouvernement;129;14;32;Subventions pour charges de service public;1 332 499;;1 332 499;
Direction de l'action du Gouvernement;129;15;21;Rémunérations d’activité;1 589 946;1 526 348;1 589 946;1 526 348
Direction de l'action du Gouvernement;129;15;22;Cotisations et contributions sociales;711 643;683 177;711 643;683 177
Direction de l'action du Gouvernement;129;15;23;Prestations sociales et allocations diverses;36 786;35 315;36 786;35 315
Direction de l'action du Gouvernement;129;15;31;Dépenses de fonctionnement autres que celles de personnel;400 000;400 000;400 000;400 000
Direction de l'action du Gouvernement;129;15;32;Subventions pour charges de service public;3 174 273;3 174 273;3 174 273;3 174 273
Direction de l'action du Gouvernement;129;15;64;Transferts aux autres collectivités;11 764 954;11 765 294;11 764 954;11 765 294
Direction de l'action du Gouvernement;129;16;21;Rémunérations d’activité;13 588 694;13 045 146;13 588 694;13 045 146
Direction de l'action du Gouvernement;129;16;22;Cotisations et contributions sociales;6 082 157;5 838 871;6 082 157;5 838 871
Direction de l'action du Gouvernement;129;16;23;Prestations sociales et allocations diverses;314 398;301 822;314 398;301 822
Direction de l'action du Gouvernement;129;16;31;Dépenses de fonctionnement autres que celles de personnel;39 117 533;35 527 472;37 285 590;35 477 472
Direction de l'action du Gouvernement;129;16;64;Transferts aux autres collectivités;245 000;510 000;185 000;560 000
Direction de l'action du Gouvernement;308;2;21;Rémunérations d’activité;10 205 910;10 463 451;10 205 910;10 463 451
Direction de l'action du Gouvernement;308;2;22;Cotisations et contributions sociales;3 725 269;3 751 024;3 725 269;3 751 024
Direction de l'action du Gouvernement;308;2;23;Prestations sociales et allocations diverses;228 451;233 097;228 451;233 097
Direction de l'action du Gouvernement;308;2;31;Dépenses de fonctionnement autres que celles de personnel;3 360 616;3 194 225;3 194 225;3 194 225
Direction de l'action du Gouvernement;308;2;64;Transferts aux autres collectivités;9 000;9 000;9 000;9 000
Direction de l'action du Gouvernement;308;3;64;Transferts aux autres collectivités;37 546 658;37 546 658;37 546 658;37 546 658
Direction de l'action du Gouvernement;308;5;21;Rémunérations d’activité;2 600 000;2 658 336;2 600 000;2 658 336
Direction de l'action du Gouvernement;308;5;22;Cotisations et contributions sociales;1 467 440;1 500 364;1 467 440;1 500 364
Direction de l'action du Gouvernement;308;5;23;Prestations sociales et allocations diverses;18 000;18 404;18 000;18 404
Direction de l'action du Gouvernement;308;5;31;Dépenses de fonctionnement autres que celles de personnel;1 024 845;1 024 845;1 104 695;1 104 695
Direction de l'action du Gouvernement;308;6;21;Rémunérations d’activité;1 452 286;1 711 723;1 452 286;1 711 723
Direction de l'action du Gouvernement;308;6;22;Cotisations et contributions sociales;720 986;850 773;720 986;850 773
Direction de l'action du Gouvernement;308;6;23;Prestations sociales et allocations diverses;16 542;18 504;16 542;18 504
Direction de l'action du Gouvernement;308;6;31;Dépenses de fonctionnement autres que celles de personnel;966 069;1 766 070;966 069;1 766 070
Direction de l'action du Gouvernement;308;6;64;Transferts aux autres collectivités;70 000;70 000;70 000;70 000
Direction de l'action du Gouvernement;308;7;21;Rémunérations d’activité;1 729 156;;1 729 156;
Direction de l'action du Gouvernement;308;7;22;Cotisations et contributions sociales;844 091;;844 091;
Direction de l'action du Gouvernement;308;7;23;Prestations sociales et allocations diverses;18 753;;18 753;
Direction de l'action du Gouvernement;308;7;31;Dépenses de fonctionnement autres que celles de personnel;447 959;;447 959;
Direction de l'action du Gouvernement;308;9;21;Rémunérations d’activité;11 319 418;11 215 410;11 319 418;11 215 410
Direction de l'action du Gouvernement;308;9;22;Cotisations et contributions sociales;4 567 446;4 525 478;4 567 446;4 525 478
Direction de l'action du Gouvernement;308;9;23;Prestations sociales et allocations diverses;268 000;265 537;268 000;265 537
Direction de l'action du Gouvernement;308;9;31;Dépenses de fonctionnement autres que celles de personnel;6 439 739;6 439 739;6 439 739;6 439 739
Direction de l'action du Gouvernement;308;10;21;Rémunérations d’activité;2 998 864;3 043 930;2 998 864;3 043 930
Direction de l'action du Gouvernement;308;10;22;Cotisations et contributions sociales;1 149 836;1 167 117;1 149 836;1 167 117
Direction de l'action du Gouvernement;308;10;23;Prestations sociales et allocations diverses;19 248;19 538;19 248;19 538
Direction de l'action du Gouvernement;308;10;31;Dépenses de fonctionnement autres que celles de personnel;7 686 704;1 358 464;2 179 604;2 179 604
Direction de l'action du Gouvernement;308;11;21;Rémunérations d’activité;59 688;72 952;59 688;72 952
Direction de l'action du Gouvernement;308;11;22;Cotisations et contributions sociales;29 478;36 029;29 478;36 029
Direction de l'action du Gouvernement;308;11;23;Prestations sociales et allocations diverses;834;1 019;834;1 019
Direction de l'action du Gouvernement;308;11;31;Dépenses de fonctionnement autres que celles de personnel;179 736;179 735;179 736;179 735
Direction de l'action du Gouvernement;308;12;21;Rémunérations d’activité;;1 699 437;;1 699 437
Direction de l'action du Gouvernement;308;12;22;Cotisations et contributions sociales;;805 647;;805 647
Direction de l'action du Gouvernement;308;12;23;Prestations sociales et allocations diverses;;16 198;;16 198
Direction de l'action du Gouvernement;308;12;31;Dépenses de fonctionnement autres que celles de personnel;;374 346;;374 346
Direction de l'action du Gouvernement;308;13;21;Rémunérations d’activité;;330 774;;330 774
