"Mission";"Programme";"Action";"Catégorie_code";"Catégorie";"AEPLF";"CPPLF";"Type_budget";"Année"
"Défense";212;10;63;"Transferts aux collectivités territoriales";14495599;10011286;"Budget général";2018
"Défense";212;10;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Défense";212;10;73;"Dépenses de participations financières";NA;1500000;"Budget général";2018
"Défense";212;11;31;"Dépenses de fonctionnement autres que celles de personnel";274538064;278164563;"Budget général";2018
"Défense";212;11;32;"Subventions pour charges de service public";71747263;71747263;"Budget général";2018
"Défense";212;11;51;"Dépenses pour immobilisations corporelles de l’État";19177488;66367488;"Budget général";2018
"Défense";212;11;72;"Dotations en fonds propres";3503000;3503000;"Budget général";2018
"Défense";212;50;21;"Rémunérations d’activité";356290150;356290150;"Budget général";2018
"Défense";212;50;22;"Cotisations et contributions sociales";208469839;208469839;"Budget général";2018
"Défense";212;50;23;"Prestations sociales et allocations diverses";2168508;2168508;"Budget général";2018
"Défense";212;51;21;"Rémunérations d’activité";14691050;14691050;"Budget général";2018
"Défense";212;51;22;"Cotisations et contributions sociales";10636571;10636571;"Budget général";2018
"Défense";212;51;23;"Prestations sociales et allocations diverses";32379;32379;"Budget général";2018
"Défense";212;52;21;"Rémunérations d’activité";47609799;47609799;"Budget général";2018
"Défense";212;52;22;"Cotisations et contributions sociales";39111529;39111529;"Budget général";2018
"Défense";212;52;23;"Prestations sociales et allocations diverses";60117;60117;"Budget général";2018
"Défense";212;53;21;"Rémunérations d’activité";476546569;476546569;"Budget général";2018
"Défense";212;53;22;"Cotisations et contributions sociales";1529171402;1529171402;"Budget général";2018
"Défense";212;53;23;"Prestations sociales et allocations diverses";1100903;1100903;"Budget général";2018
"Défense";212;54;21;"Rémunérations d’activité";699834115;699834115;"Budget général";2018
"Défense";212;54;22;"Cotisations et contributions sociales";575641483;575641483;"Budget général";2018
"Défense";212;54;23;"Prestations sociales et allocations diverses";1646033;1646033;"Budget général";2018
"Défense";212;55;21;"Rémunérations d’activité";3759155051;3759155051;"Budget général";2018
"Défense";212;55;22;"Cotisations et contributions sociales";3448679279;3448679279;"Budget général";2018
"Défense";212;55;23;"Prestations sociales et allocations diverses";11893579;11893579;"Budget général";2018
"Défense";212;56;21;"Rémunérations d’activité";1234582720;1234582720;"Budget général";2018
"Défense";212;56;22;"Cotisations et contributions sociales";1105968556;1105968556;"Budget général";2018
"Défense";212;56;23;"Prestations sociales et allocations diverses";3817723;3817723;"Budget général";2018
"Défense";212;57;21;"Rémunérations d’activité";1315174112;1315174112;"Budget général";2018
"Défense";212;57;22;"Cotisations et contributions sociales";1183893602;1183893602;"Budget général";2018
"Défense";212;57;23;"Prestations sociales et allocations diverses";3913956;3913956;"Budget général";2018
"Défense";212;58;21;"Rémunérations d’activité";1276742793;1276742793;"Budget général";2018
"Défense";212;58;22;"Cotisations et contributions sociales";1280146933;1280146933;"Budget général";2018
"Défense";212;58;23;"Prestations sociales et allocations diverses";4788315;4788315;"Budget général";2018
"Défense";212;59;21;"Rémunérations d’activité";285793800;285793800;"Budget général";2018
"Défense";212;59;22;"Cotisations et contributions sociales";206200;206200;"Budget général";2018
"Défense";212;60;21;"Rémunérations d’activité";268570974;268570974;"Budget général";2018
"Défense";212;60;22;"Cotisations et contributions sociales";196582349;196582349;"Budget général";2018
"Défense";212;60;23;"Prestations sociales et allocations diverses";752540;752540;"Budget général";2018
"Défense";212;61;22;"Cotisations et contributions sociales";38971629;38971629;"Budget général";2018
"Défense";212;61;23;"Prestations sociales et allocations diverses";268815927;268815927;"Budget général";2018
"Défense";212;62;21;"Rémunérations d’activité";22603821;22603821;"Budget général";2018
"Défense";212;62;22;"Cotisations et contributions sociales";15500056;15500056;"Budget général";2018
"Défense";212;62;23;"Prestations sociales et allocations diverses";68948;68948;"Budget général";2018
"Défense";212;63;21;"Rémunérations d’activité";56257290;56257290;"Budget général";2018
"Défense";212;63;22;"Cotisations et contributions sociales";231766;231766;"Budget général";2018
"Défense";212;63;23;"Prestations sociales et allocations diverses";16331364;16331364;"Budget général";2018
"Défense";212;64;21;"Rémunérations d’activité";237564847;237564847;"Budget général";2018
"Défense";212;64;22;"Cotisations et contributions sociales";165294542;165294542;"Budget général";2018
"Défense";212;64;23;"Prestations sociales et allocations diverses";675894;675894;"Budget général";2018
"Défense";212;65;21;"Rémunérations d’activité";45299004;45299004;"Budget général";2018
"Défense";212;65;22;"Cotisations et contributions sociales";36230079;36230079;"Budget général";2018
"Défense";212;65;23;"Prestations sociales et allocations diverses";134499;134499;"Budget général";2018
"Défense";212;66;21;"Rémunérations d’activité";13864633;13864633;"Budget général";2018
"Défense";212;66;22;"Cotisations et contributions sociales";10430224;10430224;"Budget général";2018
"Défense";212;66;23;"Prestations sociales et allocations diverses";31587;31587;"Budget général";2018
"Défense";212;67;21;"Rémunérations d’activité";55144423;55144423;"Budget général";2018
"Défense";212;67;22;"Cotisations et contributions sociales";41986331;41986331;"Budget général";2018
"Défense";212;67;23;"Prestations sociales et allocations diverses";127140;127140;"Budget général";2018
"Direction de l'action du Gouvernement";129;1;21;"Rémunérations d’activité";41368902;41368902;"Budget général";2018
"Direction de l'action du Gouvernement";129;1;22;"Cotisations et contributions sociales";18690691;18690691;"Budget général";2018
"Direction de l'action du Gouvernement";129;1;23;"Prestations sociales et allocations diverses";950859;950859;"Budget général";2018
"Direction de l'action du Gouvernement";129;1;31;"Dépenses de fonctionnement autres que celles de personnel";15650072;15714575;"Budget général";2018
"Direction de l'action du Gouvernement";129;1;61;"Transferts aux ménages";8835092;8835092;"Budget général";2018
"Direction de l'action du Gouvernement";129;1;64;"Transferts aux autres collectivités";8098204;8098204;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;21;"Rémunérations d’activité";60573533;60573533;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;22;"Cotisations et contributions sociales";28145602;28145602;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;23;"Prestations sociales et allocations diverses";894252;894252;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;31;"Dépenses de fonctionnement autres que celles de personnel";134553362;135512222;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;32;"Subventions pour charges de service public";13820237;13820237;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;51;"Dépenses pour immobilisations corporelles de l’État";101374859;102855944;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;52;"Dépenses pour immobilisations incorporelles de l’État";9380008;8518796;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;62;"Transferts aux entreprises";1369564;1209446;"Budget général";2018
"Direction de l'action du Gouvernement";129;2;64;"Transferts aux autres collectivités";1897957;2203289;"Budget général";2018
"Direction de l'action du Gouvernement";129;3;21;"Rémunérations d’activité";7232255;7232255;"Budget général";2018
"Direction de l'action du Gouvernement";129;3;22;"Cotisations et contributions sociales";3549616;3549616;"Budget général";2018
"Direction de l'action du Gouvernement";129;3;23;"Prestations sociales et allocations diverses";139606;139606;"Budget général";2018
"Direction de l'action du Gouvernement";129;3;31;"Dépenses de fonctionnement autres que celles de personnel";4834510;4834510;"Budget général";2018
"Direction de l'action du Gouvernement";129;3;64;"Transferts aux autres collectivités";700000;700000;"Budget général";2018
"Direction de l'action du Gouvernement";129;10;21;"Rémunérations d’activité";28709040;28709040;"Budget général";2018
"Direction de l'action du Gouvernement";129;10;22;"Cotisations et contributions sociales";12595307;12595307;"Budget général";2018
"Direction de l'action du Gouvernement";129;10;23;"Prestations sociales et allocations diverses";632377;632377;"Budget général";2018
"Direction de l'action du Gouvernement";129;10;31;"Dépenses de fonctionnement autres que celles de personnel";48745300;74779727;"Budget général";2018
"Direction de l'action du Gouvernement";129;10;51;"Dépenses pour immobilisations corporelles de l’État";1575000;1866826;"Budget général";2018
"Direction de l'action du Gouvernement";129;10;52;"Dépenses pour immobilisations incorporelles de l’État";150000;150000;"Budget général";2018
"Direction de l'action du Gouvernement";129;10;64;"Transferts aux autres collectivités";7728136;7728136;"Budget général";2018
"Direction de l'action du Gouvernement";129;11;21;"Rémunérations d’activité";10390931;10390931;"Budget général";2018
"Direction de l'action du Gouvernement";129;11;22;"Cotisations et contributions sociales";4358234;4358234;"Budget général";2018
"Direction de l'action du Gouvernement";129;11;23;"Prestations sociales et allocations diverses";133770;133770;"Budget général";2018
"Direction de l'action du Gouvernement";129;11;31;"Dépenses de fonctionnement autres que celles de personnel";5264406;5264406;"Budget général";2018
"Direction de l'action du Gouvernement";129;11;64;"Transferts aux autres collectivités";2887467;2887467;"Budget général";2018
"Direction de l'action du Gouvernement";129;13;32;"Subventions pour charges de service public";24527822;24527822;"Budget général";2018
"Direction de l'action du Gouvernement";129;13;72;"Dotations en fonds propres";2567214;2567214;"Budget général";2018
"Direction de l'action du Gouvernement";129;14;32;"Subventions pour charges de service public";NA;NA;"Budget général";2018
"Direction de l'action du Gouvernement";129;15;21;"Rémunérations d’activité";1526348;1526348;"Budget général";2018
"Direction de l'action du Gouvernement";129;15;22;"Cotisations et contributions sociales";683177;683177;"Budget général";2018
"Direction de l'action du Gouvernement";129;15;23;"Prestations sociales et allocations diverses";35315;35315;"Budget général";2018
"Direction de l'action du Gouvernement";129;15;31;"Dépenses de fonctionnement autres que celles de personnel";400000;400000;"Budget général";2018
"Direction de l'action du Gouvernement";129;15;32;"Subventions pour charges de service public";3174273;3174273;"Budget général";2018
"Direction de l'action du Gouvernement";129;15;64;"Transferts aux autres collectivités";11765294;11765294;"Budget général";2018
"Direction de l'action du Gouvernement";129;16;21;"Rémunérations d’activité";13045146;13045146;"Budget général";2018
"Direction de l'action du Gouvernement";129;16;22;"Cotisations et contributions sociales";5838871;5838871;"Budget général";2018
"Direction de l'action du Gouvernement";129;16;23;"Prestations sociales et allocations diverses";301822;301822;"Budget général";2018
"Direction de l'action du Gouvernement";129;16;31;"Dépenses de fonctionnement autres que celles de personnel";35527472;35477472;"Budget général";2018
"Direction de l'action du Gouvernement";129;16;64;"Transferts aux autres collectivités";510000;560000;"Budget général";2018
"Direction de l'action du Gouvernement";308;2;21;"Rémunérations d’activité";10463451;10463451;"Budget général";2018
"Direction de l'action du Gouvernement";308;2;22;"Cotisations et contributions sociales";3751024;3751024;"Budget général";2018
"Direction de l'action du Gouvernement";308;2;23;"Prestations sociales et allocations diverses";233097;233097;"Budget général";2018
"Direction de l'action du Gouvernement";308;2;31;"Dépenses de fonctionnement autres que celles de personnel";3194225;3194225;"Budget général";2018
"Direction de l'action du Gouvernement";308;2;64;"Transferts aux autres collectivités";9000;9000;"Budget général";2018
"Direction de l'action du Gouvernement";308;3;64;"Transferts aux autres collectivités";37546658;37546658;"Budget général";2018
"Direction de l'action du Gouvernement";308;5;21;"Rémunérations d’activité";2658336;2658336;"Budget général";2018
"Direction de l'action du Gouvernement";308;5;22;"Cotisations et contributions sociales";1500364;1500364;"Budget général";2018
"Direction de l'action du Gouvernement";308;5;23;"Prestations sociales et allocations diverses";18404;18404;"Budget général";2018
"Direction de l'action du Gouvernement";308;5;31;"Dépenses de fonctionnement autres que celles de personnel";1024845;1104695;"Budget général";2018
"Direction de l'action du Gouvernement";308;6;21;"Rémunérations d’activité";1711723;1711723;"Budget général";2018
"Direction de l'action du Gouvernement";308;6;22;"Cotisations et contributions sociales";850773;850773;"Budget général";2018
"Direction de l'action du Gouvernement";308;6;23;"Prestations sociales et allocations diverses";18504;18504;"Budget général";2018
"Direction de l'action du Gouvernement";308;6;31;"Dépenses de fonctionnement autres que celles de personnel";1766070;1766070;"Budget général";2018
"Direction de l'action du Gouvernement";308;6;64;"Transferts aux autres collectivités";70000;70000;"Budget général";2018
"Direction de l'action du Gouvernement";308;7;21;"Rémunérations d’activité";NA;NA;"Budget général";2018
"Direction de l'action du Gouvernement";308;7;22;"Cotisations et contributions sociales";NA;NA;"Budget général";2018
"Direction de l'action du Gouvernement";308;7;23;"Prestations sociales et allocations diverses";NA;NA;"Budget général";2018
"Direction de l'action du Gouvernement";308;7;31;"Dépenses de fonctionnement autres que celles de personnel";NA;NA;"Budget général";2018
"Direction de l'action du Gouvernement";308;9;21;"Rémunérations d’activité";11215410;11215410;"Budget général";2018
"Direction de l'action du Gouvernement";308;9;22;"Cotisations et contributions sociales";4525478;4525478;"Budget général";2018
"Direction de l'action du Gouvernement";308;9;23;"Prestations sociales et allocations diverses";265537;265537;"Budget général";2018
"Direction de l'action du Gouvernement";308;9;31;"Dépenses de fonctionnement autres que celles de personnel";6439739;6439739;"Budget général";2018
"Direction de l'action du Gouvernement";308;10;21;"Rémunérations d’activité";3043930;3043930;"Budget général";2018
"Direction de l'action du Gouvernement";308;10;22;"Cotisations et contributions sociales";1167117;1167117;"Budget général";2018
"Direction de l'action du Gouvernement";308;10;23;"Prestations sociales et allocations diverses";19538;19538;"Budget général";2018
"Direction de l'action du Gouvernement";308;10;31;"Dépenses de fonctionnement autres que celles de personnel";1358464;2179604;"Budget général";2018
"Direction de l'action du Gouvernement";308;11;21;"Rémunérations d’activité";72952;72952;"Budget général";2018
"Direction de l'action du Gouvernement";308;11;22;"Cotisations et contributions sociales";36029;36029;"Budget général";2018
"Direction de l'action du Gouvernement";308;11;23;"Prestations sociales et allocations diverses";1019;1019;"Budget général";2018
"Direction de l'action du Gouvernement";308;11;31;"Dépenses de fonctionnement autres que celles de personnel";179735;179735;"Budget général";2018
"Direction de l'action du Gouvernement";308;12;21;"Rémunérations d’activité";1699437;1699437;"Budget général";2018
"Direction de l'action du Gouvernement";308;12;22;"Cotisations et contributions sociales";805647;805647;"Budget général";2018
"Direction de l'action du Gouvernement";308;12;23;"Prestations sociales et allocations diverses";16198;16198;"Budget général";2018
"Direction de l'action du Gouvernement";308;12;31;"Dépenses de fonctionnement autres que celles de personnel";374346;374346;"Budget général";2018
"Direction de l'action du Gouvernement";308;13;21;"Rémunérations d’activité";330774;330774;"Budget général";2018
"Direction de l'action du Gouvernement";308;13;22;"Cotisations et contributions sociales";163941;163941;"Budget général";2018
"Direction de l'action du Gouvernement";308;13;23;"Prestations sociales et allocations diverses";3285;3285;"Budget général";2018
"Direction de l'action du Gouvernement";308;13;31;"Dépenses de fonctionnement autres que celles de personnel";73613;73613;"Budget général";2018
"Direction de l'action du Gouvernement";333;1;31;"Dépenses de fonctionnement autres que celles de personnel";151211016;151211016;"Budget général";2018
"Direction de l'action du Gouvernement";333;1;51;"Dépenses pour immobilisations corporelles de l’État";12030748;12030748;"Budget général";2018
"Direction de l'action du Gouvernement";333;2;31;"Dépenses de fonctionnement autres que celles de personnel";478716114;323175046;"Budget général";2018
"Direction de l'action du Gouvernement";333;2;51;"Dépenses pour immobilisations corporelles de l’État";3700000;3700000;"Budget général";2018
"Direction de l'action du Gouvernement";333;3;21;"Rémunérations d’activité";114835812;114835812;"Budget général";2018
"Direction de l'action du Gouvernement";333;3;22;"Cotisations et contributions sociales";66313941;66313941;"Budget général";2018
"Direction de l'action du Gouvernement";333;3;23;"Prestations sociales et allocations diverses";450000;450000;"Budget général";2018
"Écologie, développement et mobilité durables";113;1;31;"Dépenses de fonctionnement autres que celles de personnel";3722522;3656510;"Budget général";2018
"Écologie, développement et mobilité durables";113;1;62;"Transferts aux entreprises";100000;100000;"Budget général";2018
"Écologie, développement et mobilité durables";113;1;63;"Transferts aux collectivités territoriales";1490978;1556990;"Budget général";2018
"Écologie, développement et mobilité durables";113;1;64;"Transferts aux autres collectivités";1453726;1453726;"Budget général";2018
"Écologie, développement et mobilité durables";113;2;31;"Dépenses de fonctionnement autres que celles de personnel";5631514;5631514;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;31;"Dépenses de fonctionnement autres que celles de personnel";20041669;20042526;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;32;"Subventions pour charges de service public";1131500;1131500;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;51;"Dépenses pour immobilisations corporelles de l’État";2144841;2169373;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;52;"Dépenses pour immobilisations incorporelles de l’État";895000;932000;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;62;"Transferts aux entreprises";29108586;29609056;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;63;"Transferts aux collectivités territoriales";23750432;23080333;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;64;"Transferts aux autres collectivités";58115286;58222526;"Budget général";2018
"Écologie, développement et mobilité durables";113;7;72;"Dotations en fonds propres";1008228;1008228;"Budget général";2018
"Écologie, développement et mobilité durables";159;10;31;"Dépenses de fonctionnement autres que celles de personnel";10105000;10105000;"Budget général";2018
"Écologie, développement et mobilité durables";159;10;51;"Dépenses pour immobilisations corporelles de l’État";440000;440000;"Budget général";2018
"Écologie, développement et mobilité durables";159;10;62;"Transferts aux entreprises";210000;210000;"Budget général";2018
"Écologie, développement et mobilité durables";159;10;63;"Transferts aux collectivités territoriales";550000;550000;"Budget général";2018
"Écologie, développement et mobilité durables";159;10;64;"Transferts aux autres collectivités";3359147;3359147;"Budget général";2018
"Écologie, développement et mobilité durables";159;11;32;"Subventions pour charges de service public";206040570;206040570;"Budget général";2018
"Écologie, développement et mobilité durables";159;12;31;"Dépenses de fonctionnement autres que celles de personnel";144000;144000;"Budget général";2018
"Écologie, développement et mobilité durables";159;12;32;"Subventions pour charges de service public";91510630;91510630;"Budget général";2018
"Écologie, développement et mobilité durables";159;12;64;"Transferts aux autres collectivités";15000;15000;"Budget général";2018
"Écologie, développement et mobilité durables";159;13;32;"Subventions pour charges de service public";188846545;188846545;"Budget général";2018
"Écologie, développement et mobilité durables";159;14;31;"Dépenses de fonctionnement autres que celles de personnel";300000;300000;"Budget général";2018
"Écologie, développement et mobilité durables";159;14;64;"Transferts aux autres collectivités";14950000;13943746;"Budget général";2018
"Écologie, développement et mobilité durables";174;1;31;"Dépenses de fonctionnement autres que celles de personnel";1080001;770001;"Budget général";2018
"Écologie, développement et mobilité durables";174;1;32;"Subventions pour charges de service public";2632000;2632000;"Budget général";2018
"Écologie, développement et mobilité durables";174;1;64;"Transferts aux autres collectivités";744500;1004500;"Budget général";2018
"Écologie, développement et mobilité durables";174;4;31;"Dépenses de fonctionnement autres que celles de personnel";15250;15250;"Budget général";2018
"Écologie, développement et mobilité durables";174;4;32;"Subventions pour charges de service public";13047000;13047000;"Budget général";2018
"Écologie, développement et mobilité durables";174;4;61;"Transferts aux ménages";355880000;355880000;"Budget général";2018
"Écologie, développement et mobilité durables";174;4;62;"Transferts aux entreprises";21800000;21800000;"Budget général";2018
"Écologie, développement et mobilité durables";174;5;31;"Dépenses de fonctionnement autres que celles de personnel";7530000;7530000;"Budget général";2018
"Écologie, développement et mobilité durables";174;5;32;"Subventions pour charges de service public";1350000;1350000;"Budget général";2018
"Écologie, développement et mobilité durables";174;5;62;"Transferts aux entreprises";300000;350000;"Budget général";2018
"Écologie, développement et mobilité durables";174;5;64;"Transferts aux autres collectivités";21615000;21615000;"Budget général";2018
"Écologie, développement et mobilité durables";174;6;31;"Dépenses de fonctionnement autres que celles de personnel";1300000;1300000;"Budget général";2018
"Écologie, développement et mobilité durables";174;6;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";181;1;31;"Dépenses de fonctionnement autres que celles de personnel";29530471;22430471;"Budget général";2018
"Écologie, développement et mobilité durables";181;1;32;"Subventions pour charges de service public";35682946;35682946;"Budget général";2018
"Écologie, développement et mobilité durables";181;1;51;"Dépenses pour immobilisations corporelles de l’État";100000;100000;"Budget général";2018
"Écologie, développement et mobilité durables";181;1;62;"Transferts aux entreprises";1800000;15700000;"Budget général";2018
"Écologie, développement et mobilité durables";181;1;63;"Transferts aux collectivités territoriales";35868210;13838210;"Budget général";2018
"Écologie, développement et mobilité durables";181;1;64;"Transferts aux autres collectivités";3915000;3915000;"Budget général";2018
"Écologie, développement et mobilité durables";181;9;21;"Rémunérations d’activité";33026387;33026387;"Budget général";2018
"Écologie, développement et mobilité durables";181;9;22;"Cotisations et contributions sociales";12562209;12562209;"Budget général";2018
"Écologie, développement et mobilité durables";181;9;23;"Prestations sociales et allocations diverses";120000;120000;"Budget général";2018
"Écologie, développement et mobilité durables";181;9;31;"Dépenses de fonctionnement autres que celles de personnel";10776496;15776496;"Budget général";2018
"Écologie, développement et mobilité durables";181;9;52;"Dépenses pour immobilisations incorporelles de l’État";550000;550000;"Budget général";2018
"Écologie, développement et mobilité durables";181;9;64;"Transferts aux autres collectivités";1450000;1450000;"Budget général";2018
"Écologie, développement et mobilité durables";181;10;31;"Dépenses de fonctionnement autres que celles de personnel";15181391;15181391;"Budget général";2018
"Écologie, développement et mobilité durables";181;10;32;"Subventions pour charges de service public";7687833;7687833;"Budget général";2018
"Écologie, développement et mobilité durables";181;10;51;"Dépenses pour immobilisations corporelles de l’État";3750000;3750000;"Budget général";2018
"Écologie, développement et mobilité durables";181;10;52;"Dépenses pour immobilisations incorporelles de l’État";300000;300000;"Budget général";2018
"Écologie, développement et mobilité durables";181;10;63;"Transferts aux collectivités territoriales";4000000;4000000;"Budget général";2018
"Écologie, développement et mobilité durables";181;10;64;"Transferts aux autres collectivités";6480000;6480000;"Budget général";2018
"Écologie, développement et mobilité durables";181;11;31;"Dépenses de fonctionnement autres que celles de personnel";7680000;7680000;"Budget général";2018
"Écologie, développement et mobilité durables";181;11;32;"Subventions pour charges de service public";28450000;28450000;"Budget général";2018
"Écologie, développement et mobilité durables";181;11;51;"Dépenses pour immobilisations corporelles de l’État";943931;943931;"Budget général";2018
"Écologie, développement et mobilité durables";181;11;61;"Transferts aux ménages";1500000;1500000;"Budget général";2018
"Écologie, développement et mobilité durables";181;11;62;"Transferts aux entreprises";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";181;12;32;"Subventions pour charges de service public";612700000;612700000;"Budget général";2018
"Écologie, développement et mobilité durables";203;1;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;4;31;"Dépenses de fonctionnement autres que celles de personnel";192707765;192000000;"Budget général";2018
"Écologie, développement et mobilité durables";203;4;51;"Dépenses pour immobilisations corporelles de l’État";125260047;124800000;"Budget général";2018
"Écologie, développement et mobilité durables";203;4;63;"Transferts aux collectivités territoriales";3211796;3200000;"Budget général";2018
"Écologie, développement et mobilité durables";203;10;62;"Transferts aux entreprises";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;10;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;11;31;"Dépenses de fonctionnement autres que celles de personnel";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;11;32;"Subventions pour charges de service public";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;11;51;"Dépenses pour immobilisations corporelles de l’État";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;11;62;"Transferts aux entreprises";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;11;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;12;31;"Dépenses de fonctionnement autres que celles de personnel";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;12;51;"Dépenses pour immobilisations corporelles de l’État";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;12;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;13;31;"Dépenses de fonctionnement autres que celles de personnel";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;13;51;"Dépenses pour immobilisations corporelles de l’État";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;13;62;"Transferts aux entreprises";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;13;63;"Transferts aux collectivités territoriales";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;13;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;14;62;"Transferts aux entreprises";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;14;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;15;31;"Dépenses de fonctionnement autres que celles de personnel";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;15;64;"Transferts aux autres collectivités";NA;NA;"Budget général";2018
"Écologie, développement et mobilité durables";203;41;62;"Transferts aux entreprises";2420362316;2421612316;"Budget général";2018
"Écologie, développement et mobilité durables";203;42;32;"Subventions pour charges de service public";251415663;251415663;"Budget général";2018
"Écologie, développement et mobilité durables";203;43;31;"Dépenses de fonctionnement autres que celles de personnel";400000;400000;"Budget général";2018
"Écologie, développement et mobilité durables";203;43;62;"Transferts aux entreprises";70494836;70494836;"Budget général";2018
"Écologie, développement et mobilité durables";203;44;62;"Transferts aux entreprises";20351745;20351745;"Budget général";2018
"Écologie, développement et mobilité durables";203;44;63;"Transferts aux collectivités territoriales";6456879;6456879;"Budget général";2018
"Écologie, développement et mobilité durables";203;44;64;"Transferts aux autres collectivités";450000;450000;"Budget général";2018
"Écologie, développement et mobilité durables";203;45;62;"Transferts aux entreprises";77409039;22409039;"Budget général";2018
"Écologie, développement et mobilité durables";203;47;31;"Dépenses de fonctionnement autres que celles de personnel";15553522;15553522;"Budget général";2018
"Écologie, développement et mobilité durables";203;50;31;"Dépenses de fonctionnement autres que celles de personnel";1000000;1000000;"Budget général";2018
"Écologie, développement et mobilité durables";203;50;51;"Dépenses pour immobilisations corporelles de l’État";2042601;2042601;"Budget général";2018
"Écologie, développement et mobilité durables";203;50;64;"Transferts aux autres collectivités";1716109;1716109;"Budget général";2018
"Écologie, développement et mobilité durables";203;51;62;"Transferts aux entreprises";7500000;1000000;"Budget général";2018
"Écologie, développement et mobilité durables";203;52;31;"Dépenses de fonctionnement autres que celles de personnel";2400000;2400000;"Budget général";2018
"Écologie, développement et mobilité durables";203;52;51;"Dépenses pour immobilisations corporelles de l’État";7300000;4759000;"Budget général";2018
"Écologie, développement et mobilité durables";203;52;62;"Transferts aux entreprises";21150000;17550000;"Budget général";2018
"Écologie, développement et mobilité durables";205;1;31;"Dépenses de fonctionnement autres que celles de personnel";19160000;19130000;"Budget général";2018
"Écologie, développement et mobilité durables";205;1;51;"Dépenses pour immobilisations corporelles de l’État";3850000;3035000;"Budget général";2018
"Écologie, développement et mobilité durables";205;1;52;"Dépenses pour immobilisations incorporelles de l’État";2370000;2820000;"Budget général";2018
"Écologie, développement et mobilité durables";205;1;64;"Transferts aux autres collectivités";4500000;4900000;"Budget général";2018
"Écologie, développement et mobilité durables";205;2;31;"Dépenses de fonctionnement autres que celles de personnel";725000;740000;"Budget général";2018
"Écologie, développement et mobilité durables";205;2;32;"Subventions pour charges de service public";18500000;18500000;"Budget général";2018
"Écologie, développement et mobilité durables";205;2;51;"Dépenses pour immobilisations corporelles de l’État";930000;915000;"Budget général";2018
"Écologie, développement et mobilité durables";205;2;61;"Transferts aux ménages";1605000;1605000;"Budget général";2018
"Écologie, développement et mobilité durables";205;2;63;"Transferts aux collectivités territoriales";4700000;4700000;"Budget général";2018
"Écologie, développement et mobilité durables";205;2;64;"Transferts aux autres collectivités";1590000;1590000;"Budget général";2018
"Écologie, développement et mobilité durables";205;3;62;"Transferts aux entreprises";50820000;50820000;"Budget général";2018
"Écologie, développement et mobilité durables";205;3;64;"Transferts aux autres collectivités";13400000;13400000;"Budget général";2018
"Écologie, développement et mobilité durables";205;4;31;"Dépenses de fonctionnement autres que celles de personnel";7075000;7070000;"Budget général";2018
"Écologie, développement et mobilité durables";205;4;51;"Dépenses pour immobilisations corporelles de l’État";3145000;3145000;"Budget général";2018
"Écologie, développement et mobilité durables";205;4;63;"Transferts aux collectivités territoriales";NA;NA;"Budget général";2018
